participant_id,period,treatment,high_tempo,crossover_order,first_session_is_high_tempo,outcome_tte,pre_energy,pre_motivation,pre_music_liking,post_rpe,post_headphones,post_plank_pause,post_volume_clear,participant_age,participant_gender,participant_locale,activity_level_baseline,activity_type_baseline,plank_frequency_baseline,impossible_time,washout_violation,in_primary_analysis,in_first_period_benchmark
057ec38f-c82a-497f-9de5-edbd9691b7c0,1,high_tempo,1,high_tempo_first,1,32.179,4,4,3,5,0,0,1,63,female,en,3,32,3,0,0,1,1
057ec38f-c82a-497f-9de5-edbd9691b7c0,2,low_tempo,0,high_tempo_first,1,44.798,4,4,5,7,0,0,1,63,female,en,3,32,3,0,0,1,1
0ddb65c1-5883-4ff2-9b40-5e78243a8439,1,high_tempo,1,high_tempo_first,1,85.636,3,2,6,9,1,0,1,45,male,en,2,22,2,0,0,1,1
0ddb65c1-5883-4ff2-9b40-5e78243a8439,2,low_tempo,0,high_tempo_first,1,62.378,2,2,2,3,1,0,1,45,male,en,2,22,2,0,0,1,1
15833c45-0dcc-489a-ab5f-cd4b736d9923,1,low_tempo,0,low_tempo_first,0,76.69,6,6,5,8,0,0,1,68,male,es,2,6,1,0,0,1,1
15833c45-0dcc-489a-ab5f-cd4b736d9923,2,high_tempo,1,low_tempo_first,0,151.454,6,6,7,8,0,0,1,68,male,es,2,6,1,0,0,1,1
1b7a9db5-f963-4e03-8a1c-0dacd00cde19,1,high_tempo,1,high_tempo_first,1,202.158,5,6,5,9,1,0,1,33,male,en,4,14,2,0,0,1,1
1b7a9db5-f963-4e03-8a1c-0dacd00cde19,2,low_tempo,0,high_tempo_first,1,226.312,5,6,5,10,1,0,1,33,male,en,4,14,2,0,0,1,1
1b8a7981-007d-4d75-a6d5-10f03c01e0a8,1,high_tempo,1,high_tempo_first,1,108.588,4,5,4,4,1,0,1,13,male,es,1,10,1,0,0,1,1
1b8a7981-007d-4d75-a6d5-10f03c01e0a8,2,low_tempo,0,high_tempo_first,1,68.311,4,5,5,1,1,0,1,13,male,es,1,10,1,0,0,1,1
1bc73c55-6837-4f19-9a4d-acd7b1fdd36f,1,low_tempo,0,low_tempo_first,0,629.216,6,4,5,7,1,0,1,33,male,en,2,,1,1,0,0,0
1bc73c55-6837-4f19-9a4d-acd7b1fdd36f,2,high_tempo,1,low_tempo_first,0,686.937,5,4,5,5,1,0,1,33,male,en,2,,1,1,0,0,0
1c5da527-6d29-480c-8c5e-79906de10416,1,low_tempo,0,low_tempo_first,0,132.549,4,4,2,7,0,0,1,36,male,en,4,18,4,0,0,1,1
1c5da527-6d29-480c-8c5e-79906de10416,2,high_tempo,1,low_tempo_first,0,174.867,4,3,5,9,0,0,1,36,male,en,4,18,4,0,0,1,1
1ff69fdf-fd33-463d-a7d0-c9e3e517a859,1,high_tempo,1,high_tempo_first,1,60.609,5,7,4,7,0,0,2,14,male,es,2,,2,0,0,1,1
1ff69fdf-fd33-463d-a7d0-c9e3e517a859,2,low_tempo,0,high_tempo_first,1,56.484,5,7,5,8,0,0,1,14,male,es,2,,2,0,0,1,1
21746785-8c5c-4bf1-83ed-6fe62879537d,1,high_tempo,1,high_tempo_first,1,123.386,5,7,5,9,0,0,1,33,male,en,2,33,2,0,0,1,1
21746785-8c5c-4bf1-83ed-6fe62879537d,2,low_tempo,0,high_tempo_first,1,121.675,4,6,5,8,0,0,1,33,male,en,2,33,2,0,0,1,1
