participant_id,participant_age,participant_gender,participant_locale,participant_group_index,participant_group_label,participant_sessions_completed,participant_registered_at,participant_session1_planned_at,participant_session2_planned_at,assigned_order,registered,randomized,order_observed,period1_observed,period2_observed,completed_both_observed,attrited_before_session2,missing_primary_condition,impossible_time,washout_violation,in_primary_analysis,in_first_period_benchmark,primary_exclusion_reason,benchmark_exclusion_reason
0cbb8257-6ae2-4455-b5e8-f465390dfaca,49,male,es,1,trancepop,0,2026-04-12T16:39:40.195Z,2026-04-12T21:00:00Z,,high_tempo_first,1,1,0,0,0,0,0,1,0,0,0,0,missing one condition,missing session 1 outcome
2559a8d0-dad2-4818-b063-e29c64baf05d,36,female,en,1,trancepop,0,2026-03-30T15:19:17.868Z,2026-04-09T11:30:00Z,,high_tempo_first,1,1,0,0,0,0,0,1,0,0,0,0,missing one condition,missing session 1 outcome
2d89deac-50c2-444f-8824-18926c3b73bb,41,male,en,1,trancepop,0,2026-03-30T16:53:59.230Z,2026-04-04T18:50:00Z,2026-04-05T19:01:00Z,high_tempo_first,1,1,0,0,0,0,0,1,0,0,0,0,missing one condition,missing session 1 outcome
32b5782b-6a88-42ed-a1dd-eab5abdfa3a0,29,male,en,0,poptrance,0,2026-04-12T02:56:20.540Z,2026-04-13T09:00:00Z,,low_tempo_first,1,1,0,0,0,0,0,1,0,0,0,0,missing one condition,missing session 1 outcome
37978b45-1e43-4190-ad16-3cdfb898e289,27,male,en,0,poptrance,0,2026-04-03T19:41:42.442Z,2026-04-04T08:40:00Z,,low_tempo_first,1,1,0,0,0,0,0,1,0,0,0,0,missing one condition,missing session 1 outcome
5920d38c-af83-416b-81ba-89540c7ac75c,37,male,en,1,trancepop,0,2026-03-30T03:01:53.359Z,2026-03-30T15:00:00Z,,high_tempo_first,1,1,0,0,0,0,0,1,0,0,0,0,missing one condition,missing session 1 outcome
95689a05-82da-4b78-ad4b-831bf60efe47,36,male,en,1,trancepop,0,2026-03-29T20:06:26.376Z,2026-04-11T01:06:00Z,,high_tempo_first,1,1,0,0,0,0,0,1,0,0,0,0,missing one condition,missing session 1 outcome
ab5a6f88-0f11-4db5-91f2-b23eea70f29b,11,female,en,0,poptrance,0,2026-03-30T01:55:32.197Z,2026-03-30T01:55:00Z,,low_tempo_first,1,1,0,0,0,0,0,1,0,0,0,0,missing one condition,missing session 1 outcome
c5705b81-73bf-472f-a5c3-17a4f4d4c140,16,female,es,1,trancepop,0,2026-04-07T02:20:46.907Z,2026-04-07T02:20:00Z,,high_tempo_first,1,1,0,0,0,0,0,1,0,0,0,0,missing one condition,missing session 1 outcome
d648bf93-6b9a-4ef1-b634-5bf8aa5808c6,31,male,en,1,trancepop,0,2026-03-29T19:53:26.168Z,2026-03-31T00:00:00Z,,high_tempo_first,1,1,0,0,0,0,0,1,0,0,0,0,missing one condition,missing session 1 outcome
fd58b8c4-6496-46e2-b7cc-6a7bbb71b314,49,male,en,0,poptrance,0,2026-03-30T16:44:28.907Z,2026-04-02T16:00:00Z,,low_tempo_first,1,1,0,0,0,0,0,1,0,0,0,0,missing one condition,missing session 1 outcome
057ec38f-c82a-497f-9de5-edbd9691b7c0,63,female,en,1,trancepop,2,2026-03-24T01:27:29.684Z,2026-03-24T02:00:00Z,2026-03-25T18:00:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
0ddb65c1-5883-4ff2-9b40-5e78243a8439,45,male,en,1,trancepop,2,2026-03-27T21:01:42.050Z,2026-03-28T21:57:00Z,,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
81377784-e22b-4e0b-9873-7dd27f7c74a8,29,female,en,0,poptrance,2,2026-03-28T04:35:48.256Z,2026-03-28T04:35:00Z,2026-03-30T04:38:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
cd219427-2048-4131-920e-9fdd00393e03,29,male,en,1,trancepop,2,2026-03-28T04:36:00.780Z,2026-03-28T05:34:00Z,2026-03-29T06:40:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
8976df89-d963-4dc0-aae7-6d84a164b8f5,44,male,en,0,poptrance,2,2026-03-29T16:20:29.418Z,2026-03-31T16:20:00Z,2026-04-03T00:50:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
1b8a7981-007d-4d75-a6d5-10f03c01e0a8,13,male,es,1,trancepop,2,2026-03-29T17:13:27.360Z,2026-03-29T17:14:00Z,2026-03-30T17:20:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
51f73f05-2b53-4817-9aee-c81f817d001e,34,male,en,0,poptrance,2,2026-03-29T19:46:19.366Z,2026-03-30T23:30:00Z,2026-04-01T02:33:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
1c5da527-6d29-480c-8c5e-79906de10416,36,male,en,0,poptrance,2,2026-03-29T20:01:03.679Z,2026-03-30T01:40:00Z,2026-03-31T02:00:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
3dbcd64c-e5ca-4948-8031-7ee59cb0d11c,56,female,en,0,poptrance,2,2026-03-30T01:27:04.891Z,2026-03-30T01:30:00Z,2026-04-01T01:39:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
2e953262-989a-4aca-809b-d35e278e3699,36,male,en,1,trancepop,2,2026-03-30T01:31:14.062Z,2026-04-01T16:00:00Z,2026-04-03T17:03:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
1bc73c55-6837-4f19-9a4d-acd7b1fdd36f,33,male,en,0,poptrance,2,2026-03-30T01:51:10.242Z,2026-03-31T02:00:00Z,2026-04-02T02:30:00Z,low_tempo_first,1,1,1,1,1,1,0,0,1,0,0,0,impossible time > 600s,impossible session 1 time > 600s
31164555-dc95-4cc7-b9b0-5c5172c5f73e,43,female,es,1,trancepop,2,2026-03-30T01:55:17.654Z,2026-03-30T01:54:00Z,2026-03-31T02:07:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
ac99d716-c387-4f1f-b138-746dd7ac1d0d,12,male,es,1,trancepop,2,2026-03-30T01:55:32.291Z,2026-03-30T01:55:00Z,2026-03-31T02:07:00Z,high_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
a4a92d77-9185-4b68-b172-8e05c55888c2,44,male,es,0,poptrance,2,2026-03-30T01:55:33.902Z,2026-03-30T02:53:00Z,2026-03-31T02:20:00Z,low_tempo_first,1,1,1,1,1,1,0,0,0,0,1,1,,
