N,Power,Design
20,0.091,Between-subjects
40,0.162,Between-subjects
60,0.248,Between-subjects
80,0.316,Between-subjects
100,0.413,Between-subjects
120,0.46,Between-subjects
140,0.541,Between-subjects
160,0.595,Between-subjects
180,0.636,Between-subjects
200,0.671,Between-subjects
220,0.708,Between-subjects
240,0.744,Between-subjects
260,0.804,Between-subjects
280,0.814,Between-subjects
300,0.845,Between-subjects
20,0.661,Within-subjects
40,0.937,Within-subjects
60,0.989,Within-subjects
80,0.999,Within-subjects
100,0.999,Within-subjects
120,1,Within-subjects
140,1,Within-subjects
160,1,Within-subjects
180,1,Within-subjects
200,1,Within-subjects
220,1,Within-subjects
240,1,Within-subjects
260,1,Within-subjects
280,1,Within-subjects
300,1,Within-subjects
