participant_id,completed_both,crossover_order,first_session_is_high_tempo,audio_s1,audio_s2,plank_s1,plank_s2,plank_high_tempo,plank_low_tempo,diff_high_minus_low,elapsed_sessions_hours,participant_age,participant_gender,participant_locale,participant_group_index,participant_group_label,participant_sessions_completed,participant_registered_at,participant_session1_planned_at,participant_session2_planned_at,post_comments_present_s1,post_comments_present_s2,post_form_quality_s1,post_form_quality_s2,post_headphones_s1,post_headphones_s2,post_instructions_ease_s2,post_music_effect_overall_s2,post_music_effect_s1,post_overall_experience_s2,post_plank_pause_detail_present_s1,post_plank_pause_detail_present_s2,post_plank_pause_s1,post_plank_pause_s2,post_rpe_s1,post_rpe_s2,post_volume_clear_s1,post_volume_clear_s2,pre_activity_level_s1,pre_activity_type_s1,pre_energy_pre_plank_s1,pre_energy_pre_plank_s2,pre_motivation_pre_plank_s1,pre_motivation_pre_plank_s2,pre_music_liking_s1,pre_music_liking_s2,pre_plank_frequency_s1
057ec38f-c82a-497f-9de5-edbd9691b7c0,1,high_tempo_first,1,high_tempo,low_tempo,32.179,44.798,32.179,44.798,-12.619,40.2273666666614,63,female,en,1,trancepop,2,2026-03-24T01:27:29.684Z,2026-03-24T02:00:00Z,2026-03-25T18:00:00Z,,,2,3,0,0,5,4,2,3,,,0,0,5,7,1,1,3,32,4,4,4,4,3,5,3
0ddb65c1-5883-4ff2-9b40-5e78243a8439,1,high_tempo_first,1,high_tempo,low_tempo,85.636,62.378,85.636,62.378,23.258,105.516699999968,45,male,en,1,trancepop,2,2026-03-27T21:01:42.050Z,2026-03-28T21:57:00Z,,1,1,3,3,1,1,5,5,,5,,,0,0,9,3,1,1,2,22,3,2,2,2,6,2,2
15833c45-0dcc-489a-ab5f-cd4b736d9923,1,low_tempo_first,0,low_tempo,high_tempo,76.69,151.454,151.454,76.69,74.764,25.2267211110724,68,male,es,0,poptrance,2,2026-04-01T22:57:52.594Z,2026-04-01T23:10:00Z,2026-04-03T00:15:00Z,,1,3,3,0,0,5,5,,5,,,0,0,8,8,1,1,2,6,6,6,6,6,5,7,1
1b7a9db5-f963-4e03-8a1c-0dacd00cde19,1,high_tempo_first,1,high_tempo,low_tempo,202.158,226.312,202.158,226.312,-24.154,24.478353888856,33,male,en,1,trancepop,2,2026-03-31T01:04:47.215Z,2026-03-31T14:00:00Z,2026-04-01T14:30:00Z,1,1,3,3,1,1,5,3,,5,,,0,0,9,10,1,1,4,14,5,5,6,6,5,5,2
1b8a7981-007d-4d75-a6d5-10f03c01e0a8,1,high_tempo_first,1,high_tempo,low_tempo,108.588,68.311,108.588,68.311,40.277,50.6973697222604,13,male,es,1,trancepop,2,2026-03-29T17:13:27.360Z,2026-03-29T17:14:00Z,2026-03-30T17:20:00Z,,,3,3,1,1,5,4,,5,,,0,0,4,1,1,1,1,10,4,4,5,5,4,5,1
1bc73c55-6837-4f19-9a4d-acd7b1fdd36f,1,low_tempo_first,0,low_tempo,high_tempo,629.216,686.937,686.937,629.216,57.721,74.3688397222095,33,male,en,0,poptrance,2,2026-03-30T01:51:10.242Z,2026-03-31T02:00:00Z,2026-04-02T02:30:00Z,,,3,3,1,1,3,4,,4,,,0,0,7,5,1,1,2,,6,5,4,4,5,5,1
1c5da527-6d29-480c-8c5e-79906de10416,1,low_tempo_first,0,low_tempo,high_tempo,132.549,174.867,174.867,132.549,42.318,164.584469722244,36,male,en,0,poptrance,2,2026-03-29T20:01:03.679Z,2026-03-30T01:40:00Z,2026-03-31T02:00:00Z,,,3,3,0,0,4,4,,4,,,0,0,7,9,1,1,4,18,4,4,4,3,2,5,4
1ff69fdf-fd33-463d-a7d0-c9e3e517a859,1,high_tempo_first,1,high_tempo,low_tempo,60.609,56.484,60.609,56.484,4.125,24.5018308332894,14,male,es,1,trancepop,2,2026-03-30T01:57:08.105Z,2026-03-30T02:54:00Z,2026-03-31T02:15:00Z,,,4,4,0,0,5,2,,3,,,0,0,7,8,2,1,2,,5,5,7,7,4,5,2
21746785-8c5c-4bf1-83ed-6fe62879537d,1,high_tempo_first,1,high_tempo,low_tempo,123.386,121.675,123.386,121.675,1.711,48.0742513888412,33,male,en,1,trancepop,2,2026-04-01T16:24:21.546Z,2026-04-01T16:24:00Z,2026-04-03T16:29:00Z,,,3,3,0,0,5,2,,5,,,0,0,9,8,1,1,2,33,5,4,7,6,5,5,2
2549833a-3e5d-4e70-be06-934fe21952bf,0,low_tempo_first,0,low_tempo,,81.76,,,81.76,,,44,male,es,0,poptrance,1,2026-04-06T15:53:16.214Z,2026-04-06T15:53:00Z,2026-04-07T16:11:00Z,,,3,,0,,,,,,,,0,,6,,1,,1,13,3,,3,,4,,1
2e953262-989a-4aca-809b-d35e278e3699,1,high_tempo_first,1,high_tempo,low_tempo,83.655,109.363,83.655,109.363,-25.708,155.505599166618,36,male,en,1,trancepop,2,2026-03-30T01:31:14.062Z,2026-04-01T16:00:00Z,2026-04-03T17:03:00Z,,,3,3,0,1,5,5,,5,,,0,0,7,3,1,1,4,1,3,7,5,7,6,7,2
31164555-dc95-4cc7-b9b0-5c5172c5f73e,1,high_tempo_first,1,high_tempo,low_tempo,120.315,70.891,120.315,70.891,49.424,24.1523869444264,43,female,es,1,trancepop,2,2026-03-30T01:55:17.654Z,2026-03-30T01:54:00Z,2026-03-31T02:07:00Z,,,3,3,0,0,5,1,,5,,,0,0,8,7,1,1,4,,6,4,7,6,5,6,4
35db2bb8-815c-494d-b2f5-cc2e1d1fa749,1,high_tempo_first,1,high_tempo,low_tempo,78.952,59.107,78.952,59.107,19.845,24.3319291666481,26,male,en,1,trancepop,2,2026-03-30T03:54:57.098Z,2026-03-30T04:15:00Z,2026-03-31T04:36:00Z,,,3,3,1,1,5,5,,5,,,0,0,6,8,1,1,1,,6,4,6,4,6,4,1
38696c94-2413-4688-b833-5337ac87989f,0,high_tempo_first,1,high_tempo,,74.445,,74.445,,,,39,female,es,1,trancepop,1,2026-04-07T03:49:57.896Z,2026-04-07T03:49:00Z,2026-04-10T03:30:00Z,,,3,,0,,,,,,,,0,,10,,1,,1,,3,,6,,3,,1
3dbcd64c-e5ca-4948-8031-7ee59cb0d11c,1,low_tempo_first,0,low_tempo,high_tempo,33.197,60.067,60.067,33.197,26.87,26.9650319444471,56,female,en,0,poptrance,2,2026-03-30T01:27:04.891Z,2026-03-30T01:30:00Z,2026-04-01T01:39:00Z,,,3,3,0,0,4,4,,4,,,0,0,8,5,1,1,1,,4,5,4,5,4,6,1
4c5854e9-f991-4516-b669-f99f8cf9247a,1,high_tempo_first,1,high_tempo,low_tempo,61.502,61.195,61.502,61.195,0.307000000000002,24.4390661111143,11,female,es,1,trancepop,2,2026-03-30T02:03:34.273Z,2026-03-30T02:03:00Z,2026-03-31T02:15:00Z,,,3,4,0,0,3,2,,3,,,0,0,5,5,2,1,1,,4,4,3,5,2,5,1
4f6cecca-6e02-46b1-b0fb-dd8e9c2cd9a6,1,high_tempo_first,1,high_tempo,low_tempo,130.563,107.384,130.563,107.384,23.179,70.3666194444233,34,female,es,1,trancepop,2,2026-03-30T19:23:53.952Z,2026-03-30T19:25:00Z,,1,1,4,4,1,1,5,5,,5,,,0,0,7,8,1,1,4,15,5,4,6,7,5,5,4
5043f670-1a3b-42eb-bc41-876ce74c3ef6,1,low_tempo_first,0,low_tempo,high_tempo,196.065,205.505,205.505,196.065,9.44,93.9139391666651,43,male,es,0,poptrance,2,2026-04-07T02:26:04.881Z,2026-04-07T02:25:00Z,2026-04-09T02:43:00Z,,,3,3,1,1,5,5,,5,,,0,0,8,9,1,1,4,8,4,3,3,5,5,6,1
51f73f05-2b53-4817-9aee-c81f817d001e,1,low_tempo_first,0,low_tempo,high_tempo,97.257,116.753,116.753,97.257,19.496,28.7996613888608,34,male,en,0,poptrance,2,2026-03-29T19:46:19.366Z,2026-03-30T23:30:00Z,2026-04-01T02:33:00Z,,,4,4,0,0,4,4,,4,,,0,0,5,5,1,1,4,19,4,3,4,3,4,5,1
5681b22e-5a5a-41ab-b583-83e5faca7f0c,1,high_tempo_first,1,high_tempo,low_tempo,143.961,135.985,143.961,135.985,7.976,43.1140444444948,30,male,en,1,trancepop,2,2026-03-31T05:24:05.132Z,2026-03-31T05:30:00Z,2026-04-02T03:00:00Z,,,3,3,0,0,5,2,,5,,,0,0,7,7,1,1,4,7,5,6,6,6,5,5,1
6bb10a1a-8774-42e2-adf9-54c7ce2f8b0c,0,low_tempo_first,0,low_tempo,,70.451,,,70.451,,,30,male,en,0,poptrance,1,2026-03-31T07:54:58.990Z,2026-03-31T08:53:00Z,2026-04-01T08:06:00Z,,,3,,0,,,,,,,,0,,6,,1,,1,26,5,,5,,5,,1
